,EFG_ratio_away,EFG_ratio_home,FTA_rate_away,FTA_rate_home,OREB_ratio_away,OREB_ratio_home,TO_ratio_away,TO_ratio_home,game_ID
2,48.1%,46.9%,0.342,0.222,18.6%,11.4%,12.6,15.2,20171114SASvsDAL
3,47.6%,58.2%,0.214,0.141,20.0%,29.4%,10.9,13.0,20171113SACvsWAS
4,48.9%,47.7%,0.250,0.250,28.0%,27.7%,20.1,16.7,20171113CLEvsNYK
5,55.9%,56.1%,0.276,0.305,23.5%,25.6%,16.3,10.8,20171113MEMvsMIL
6,55.7%,63.3%,0.103,0.227,24.4%,21.2%,16.5,20.1,20171113ATLvsNOP
7,50.0%,42.6%,0.141,0.211,17.3%,21.8%,15.3,15.6,20171113LALvsPHX
8,59.2%,52.4%,0.408,0.131,17.9%,18.6%,17.8,15.7,20171113MINvsUTA
9,41.1%,56.8%,0.179,0.247,25.5%,25.8%,20.3,23.2,20171113DENvsPOR
10,47.7%,54.5%,0.205,0.182,9.5%,27.9%,10.7,16.2,20171113ORLvsGSW
11,53.9%,51.2%,0.455,0.390,28.6%,18.0%,19.5,14.7,20171113PHIvsLAC
12,53.6%,46.0%,0.333,0.218,16.2%,33.3%,18.9,15.7,20171112TORvsBOS
13,50.6%,56.3%,0.178,0.230,14.0%,25.6%,9.1,13.3,20171112MIAvsDET
14,57.2%,49.4%,0.200,0.253,22.7%,15.9%,12.9,13.2,20171112HOUvsIND
15,48.9%,60.4%,0.207,0.444,24.4%,9.1%,19.2,17.0,20171112DALvsOKC
16,49.4%,58.3%,0.205,0.359,24.4%,33.3%,23.0,22.5,20171111ATLvsWAS
17,46.5%,57.5%,0.314,0.300,15.7%,21.6%,11.8,21.8,20171111LACvsNOP
18,41.9%,58.9%,0.375,0.167,25.6%,20.5%,13.7,11.0,20171111SACvsNYK
19,51.9%,54.2%,0.228,0.337,12.5%,23.4%,19.6,15.9,20171111MEMvsHOU
20,50.6%,47.8%,0.432,0.228,23.3%,17.3%,16.4,10.7,20171111CLEvsDAL
21,45.9%,44.7%,0.500,0.306,19.5%,18.4%,21.8,13.8,20171111LALvsMIL
22,50.0%,70.6%,0.151,0.188,12.2%,25.8%,13.0,14.3,20171111CHIvsSAS
23,53.2%,67.1%,0.213,0.317,27.1%,13.8%,18.2,20.5,20171111PHIvsGSW
24,53.4%,59.8%,0.230,0.310,17.8%,31.7%,12.0,13.1,20171111ORLvsDEN
25,42.7%,59.3%,0.365,0.279,32.8%,20.0%,10.6,16.7,20171111MINvsPHX
26,50.7%,54.7%,0.513,0.294,23.8%,27.9%,17.0,16.0,20171111BKNvsUTA
27,53.9%,50.6%,0.124,0.303,26.2%,37.0%,16.2,17.4,20171110ATLvsDET
28,42.5%,41.1%,0.413,0.298,14.9%,18.4%,13.8,13.1,20171110CHAvsBOS
29,58.3%,43.5%,0.143,0.097,17.9%,20.0%,17.9,12.2,20171110INDvsCHI
30,53.6%,58.3%,0.357,0.513,35.6%,26.8%,19.0,12.4,20171110LACvsOKC
31,48.9%,48.1%,0.157,0.138,24.4%,20.0%,14.3,19.2,20171110MILvsSAS
32,60.4%,49.5%,0.524,0.266,20.0%,24.5%,16.1,13.9,20171110ORLvsPHX
33,45.5%,37.2%,0.234,0.297,16.3%,8.9%,21.2,18.4,20171110MIAvsUTA
34,49.5%,46.3%,0.209,0.116,22.0%,24.0%,10.2,11.1,20171110BKNvsPOR
35,37.8%,56.0%,0.477,0.241,30.9%,19.4%,17.9,20.6,20171109LALvsWAS
36,61.6%,54.1%,0.305,0.235,9.5%,22.7%,13.6,10.9,20171109NOPvsTOR
37,63.0%,57.1%,0.173,0.468,12.5%,43.6%,18.6,22.5,20171109CLEvsHOU
38,51.1%,49.5%,0.310,0.301,26.0%,15.7%,16.5,8.5,20171109PHIvsSAC
39,48.3%,51.8%,0.156,0.268,36.7%,35.0%,18.7,19.7,20171109OKCvsDEN
40,47.2%,59.0%,0.205,0.301,14.3%,20.5%,14.4,17.3,20171108INDvsDET
41,55.6%,61.9%,0.163,0.275,34.3%,16.7%,23.8,13.4,20171108NYKvsORL
42,46.5%,42.3%,0.271,0.316,27.3%,30.8%,20.2,12.8,20171108LALvsBOS
43,60.5%,52.3%,0.432,0.341,28.2%,12.5%,14.9,10.4,20171108MIAvsPHX
44,44.0%,65.3%,0.293,0.212,17.6%,8.6%,12.9,17.4,20171108MINvsGSW
45,64.5%,55.5%,0.193,0.463,22.9%,30.0%,17.2,13.0,20171107MILvsCLE
46,58.6%,52.2%,0.253,0.194,26.8%,25.6%,13.2,10.9,20171107NOPvsIND
47,53.3%,49.3%,0.220,0.427,23.4%,6.7%,11.9,14.8,20171107DALvsWAS
48,54.4%,68.0%,0.187,0.280,37.0%,20.7%,13.8,17.0,20171107CHAvsNYK
49,56.9%,62.3%,0.350,0.296,21.1%,19.4%,15.1,15.9,20171107CHIvsTOR
50,57.9%,62.5%,0.207,0.226,26.3%,27.5%,18.5,13.8,20171107LACvsSAS
51,48.9%,52.2%,0.247,0.215,17.4%,18.8%,21.6,17.0,20171107BKNvsDEN
52,49.4%,34.8%,0.370,0.354,20.5%,22.6%,20.3,10.7,20171107PHIvsUTA
53,52.7%,48.1%,0.342,0.247,13.5%,25.6%,16.0,16.7,20171107MEMvsPOR
54,39.5%,52.5%,0.267,0.152,17.6%,12.5%,16.3,22.5,20171107OKCvsSAC
55,56.8%,56.2%,0.272,0.247,18.4%,12.5%,14.3,14.2,20171106BOSvsATL
56,44.8%,38.4%,0.333,0.407,22.4%,27.5%,15.3,16.3,20171106BKNvsPHX
57,41.0%,43.1%,0.205,0.276,15.6%,26.0%,21.6,15.1,20171106MIAvsGSW
58,54.1%,49.0%,0.395,0.240,25.6%,31.3%,15.9,12.5,20171105ATLvsCLE
59,52.4%,44.3%,0.226,0.345,23.8%,40.0%,16.3,16.3,20171105MIAvsLAC
60,50.0%,39.6%,0.225,0.198,20.5%,18.2%,13.6,12.8,20171105BOSvsORL
61,53.5%,49.4%,0.271,0.338,28.9%,20.5%,16.8,13.6,20171105WASvsTOR
62,50.6%,73.5%,0.273,0.259,17.8%,16.7%,13.4,19.8,20171105UTAvsHOU
63,50.6%,56.3%,0.272,0.205,23.9%,19.0%,18.4,10.2,20171105PHXvsSAS
64,54.4%,53.4%,0.215,0.216,10.5%,28.6%,12.7,12.5,20171105INDvsNYK
65,46.6%,51.8%,0.236,0.361,19.2%,28.6%,11.1,16.0,20171105CHAvsMIN
66,51.1%,54.7%,0.169,0.378,14.0%,21.2%,12.7,22.5,20171105OKCvsPOR
67,52.3%,52.4%,0.161,0.271,13.6%,19.5%,12.1,17.9,20171105MEMvsLAL
68,55.4%,48.2%,0.286,0.373,24.3%,33.3%,12.3,13.7,20171104MEMvsLAC
69,59.2%,58.9%,0.171,0.278,10.0%,21.6%,18.6,15.7,20171104SACvsDET
70,45.4%,40.9%,0.253,0.121,10.6%,25.4%,14.1,17.7,20171104NOPvsCHI
71,51.7%,60.8%,0.138,0.253,15.6%,29.4%,15.0,19.6,20171104DALvsMIN
72,64.8%,49.4%,0.187,0.310,15.9%,20.9%,14.1,16.7,20171104GSWvsDEN
73,53.0%,52.6%,0.108,0.359,17.9%,19.4%,14.9,14.4,20171103MILvsDET
74,55.3%,46.5%,0.141,0.058,22.5%,15.2%,17.3,16.5,20171103CHIvsORL
75,50.5%,59.8%,0.196,0.152,17.4%,27.3%,11.0,18.8,20171103INDvsPHI
76,63.4%,60.1%,0.341,0.369,22.2%,25.7%,14.8,15.3,20171103CLEvsWAS
77,56.2%,54.9%,0.258,0.222,20.0%,12.5%,13.4,17.7,20171103HOUvsATL
78,39.7%,56.3%,0.381,0.287,33.3%,25.0%,9.7,12.7,20171103PHXvsNYK
79,44.4%,43.8%,0.292,0.250,19.1%,17.0%,13.3,14.5,20171103NOPvsDAL
80,46.3%,52.4%,0.525,0.313,22.4%,16.7%,12.1,15.5,20171103CHAvsSAS
81,56.5%,50.6%,0.143,0.313,22.2%,28.3%,23.8,17.9,20171103MIAvsDEN
82,61.3%,48.8%,0.394,0.300,17.9%,22.7%,17.8,14.8,20171103TORvsUTA
83,50.6%,47.7%,0.286,0.161,22.9%,22.4%,11.6,12.7,20171103BOSvsOKC
84,45.6%,55.9%,0.418,0.287,13.8%,16.7%,13.8,13.9,20171103BKNvsLAL
85,60.2%,43.1%,0.193,0.264,13.5%,28.0%,14.1,18.6,20171102GSWvsSAS
86,57.0%,51.7%,0.342,0.314,6.1%,25.0%,11.0,12.0,20171102LALvsPOR
87,59.9%,61.9%,0.165,0.345,20.9%,18.4%,13.6,10.9,20171101MILvsCHA
88,63.3%,54.1%,0.144,0.233,19.5%,18.6%,13.8,15.6,20171101INDvsCLE
89,47.9%,53.0%,0.287,0.253,24.0%,28.8%,16.8,15.2,20171101ATLvsPHI
90,54.8%,50.0%,0.458,0.326,26.8%,30.6%,10.1,11.7,20171101PHXvsWAS
91,46.9%,59.1%,0.148,0.232,16.3%,45.7%,15.9,20.4,20171101SACvsBOS
92,44.4%,48.2%,0.213,0.229,13.5%,6.0%,11.7,11.1,20171101CHIvsMIA
93,58.5%,47.8%,0.239,0.144,20.0%,14.0%,14.5,17.5,20171101HOUvsNYK
94,59.3%,53.7%,0.187,0.195,18.8%,13.5%,24.2,15.1,20171101ORLvsMEM
95,53.0%,47.6%,0.289,0.250,27.5%,20.0%,21.0,18.4,20171101MINvsNOP
96,55.9%,62.5%,0.294,0.330,20.9%,23.7%,13.9,11.6,20171101TORvsDEN
97,44.6%,45.0%,0.290,0.400,19.6%,19.2%,15.3,12.7,20171101PORvsUTA
98,46.1%,60.9%,0.225,0.372,17.6%,19.4%,13.6,16.0,20171101DALvsLAC
99,43.2%,49.4%,0.159,0.259,20.4%,28.0%,15.1,15.7,20171031SACvsIND
100,52.1%,45.6%,0.250,0.294,21.3%,11.1%,17.2,6.1,20171031PHXvsBKN
101,56.8%,47.4%,0.259,0.286,25.0%,9.8%,16.5,15.4,20171031OKCvsMIL
102,48.9%,56.0%,0.032,0.154,19.2%,24.4%,13.2,14.0,20171031DETvsLAL
103,48.3%,54.0%,0.230,0.182,23.5%,34.9%,11.6,15.8,20171030SASvsBOS
104,51.1%,56.5%,0.385,0.269,22.2%,33.3%,14.2,21.2,20171030MINvsMIA
105,51.8%,57.9%,0.365,0.280,25.5%,32.4%,13.2,22.1,20171030DENvsNYK
106,61.3%,47.6%,0.300,0.458,21.9%,19.6%,20.1,14.3,20171030PHIvsHOU
107,45.5%,38.7%,0.326,0.355,21.3%,19.3%,11.6,6.8,20171030CHAvsMEM
108,60.0%,50.0%,0.212,0.212,15.0%,19.6%,16.4,19.2,20171030ORLvsNOP
109,52.6%,56.8%,0.145,0.185,23.7%,15.4%,25.0,14.6,20171030DALvsUTA
110,49.4%,43.8%,0.195,0.238,20.0%,13.3%,10.4,13.6,20171030TORvsPOR
111,66.3%,51.2%,0.337,0.349,35.0%,22.0%,12.0,14.3,20171030GSWvsLAC
112,62.3%,55.2%,0.259,0.338,15.2%,7.3%,14.1,15.8,20171029MILvsATL
113,45.0%,53.2%,0.200,0.260,24.0%,15.8%,16.5,19.2,20171029SASvsIND
114,55.9%,46.9%,0.234,0.323,9.3%,28.8%,5.7,13.9,20171029DENvsBKN
115,47.9%,57.7%,0.268,0.175,16.1%,28.6%,10.0,15.5,20171029ORLvsCHA
116,57.1%,42.7%,0.235,0.195,28.9%,23.4%,17.4,20.4,20171029WASvsSAC
117,54.5%,44.4%,0.236,0.333,24.4%,14.9%,13.8,14.9,20171029NYKvsCLE
118,52.7%,63.6%,0.183,0.156,36.2%,33.3%,14.4,26.5,20171029DETvsGSW
119,53.8%,58.4%,0.295,0.168,11.9%,23.8%,17.8,10.7,20171028CLEvsNOP
120,45.7%,47.5%,0.321,0.203,24.4%,16.7%,12.8,19.2,20171028BOSvsMIA
121,51.7%,34.6%,0.159,0.256,23.9%,22.6%,12.6,21.1,20171028OKCvsCHI
122,46.8%,55.3%,0.273,0.141,18.2%,14.6%,19.5,9.6,20171028HOUvsMEM
123,58.6%,64.2%,0.161,0.257,26.8%,8.8%,14.6,18.5,20171028PHIvsDAL
124,41.4%,55.1%,0.247,0.165,28.6%,35.9%,17.4,24.5,20171028LALvsUTA
125,47.7%,50.0%,0.345,0.308,22.6%,26.1%,16.2,14.1,20171028PHXvsPOR
126,46.0%,42.3%,0.239,0.262,25.0%,28.3%,13.2,19.5,20171028DETvsLAC
127,57.6%,43.8%,0.153,0.318,17.5%,20.0%,16.0,9.2,20171027HOUvsCHA
128,36.0%,63.7%,0.303,0.167,30.4%,15.8%,17.7,18.4,20171027SASvsORL
129,48.4%,49.4%,0.253,0.135,25.6%,23.9%,11.8,12.6,20171027DENvsATL
130,47.3%,49.5%,0.280,0.173,12.2%,38.8%,16.8,12.2,20171027BKNvsNYK
131,54.7%,53.5%,0.291,0.407,28.9%,41.5%,14.0,15.9,20171027OKCvsMIN
132,52.1%,53.7%,0.227,0.211,24.0%,34.1%,13.7,16.9,20171027WASvsGSW
133,46.8%,47.5%,0.215,0.304,18.4%,22.5%,13.1,20.7,20171027TORvsLAL
134,46.3%,40.1%,0.160,0.337,13.7%,35.3%,11.1,16.5,20171026ATLvsCHI
135,39.4%,47.9%,0.213,0.411,32.7%,20.5%,14.2,18.9,20171026DALvsMEM
136,49.4%,52.6%,0.282,0.182,14.6%,4.9%,16.4,18.2,20171026BOSvsMIL
137,52.6%,47.2%,0.468,0.247,33.3%,33.3%,13.2,10.8,20171026LACvsPOR
138,56.4%,51.2%,0.267,0.309,25.6%,11.9%,14.8,13.0,20171026NOPvsSAC
139,42.0%,54.9%,0.150,0.321,31.0%,23.3%,13.6,14.5,20171025DENvsCHA
140,48.8%,60.3%,0.247,0.185,16.7%,28.6%,13.8,14.6,20171025MINvsDET
141,56.0%,50.5%,0.320,0.103,18.4%,26.7%,19.5,15.2,20171025HOUvsPHI
142,55.6%,52.2%,0.321,0.226,24.3%,20.8%,20.1,12.4,20171025CLEvsBKN
143,61.8%,51.9%,0.395,0.225,22.2%,10.0%,13.8,9.7,20171025SASvsMIA
144,39.8%,53.9%,0.422,0.292,29.8%,37.2%,18.4,19.1,20171025INDvsOKC
145,54.2%,56.1%,0.333,0.392,16.2%,11.8%,19.0,11.7,20171025MEMvsDAL
146,45.5%,46.9%,0.325,0.094,15.2%,30.2%,22.9,16.0,20171025UTAvsPHX
147,50.0%,63.6%,0.202,0.286,35.4%,19.4%,17.4,17.4,20171025TORvsGSW
148,44.2%,48.4%,0.242,0.174,13.0%,13.6%,13.3,19.1,20171025WASvsLAL
149,57.4%,61.4%,0.148,0.265,20.5%,20.5%,12.3,9.6,20171024CHIvsCLE
150,47.4%,54.2%,0.354,0.482,26.9%,14.6%,14.2,10.4,20171024BKNvsORL
151,42.9%,58.7%,0.294,0.360,23.4%,13.5%,14.1,14.6,20171024NYKvsBOS
152,72.6%,54.1%,0.131,0.256,30.8%,20.9%,18.2,13.9,20171024INDvsMIN
153,45.4%,43.2%,0.421,0.375,8.2%,32.1%,16.5,18.4,20171024NOPvsPOR
154,47.5%,53.0%,0.139,0.253,19.5%,25.0%,19.2,13.8,20171024UTAvsLAC
155,52.7%,42.4%,0.320,0.224,21.1%,18.0%,21.3,14.2,20171023PHIvsDET
156,52.0%,54.1%,0.237,0.212,16.2%,22.2%,21.2,18.6,20171023ATLvsMIA
157,47.1%,47.4%,0.544,0.299,9.1%,20.5%,12.9,18.7,20171023MEMvsHOU
158,46.8%,52.4%,0.462,0.188,21.3%,11.6%,14.3,13.0,20171023CHAvsMIL
159,64.5%,44.3%,0.302,0.313,26.3%,25.9%,15.5,11.2,20171023GSWvsDAL
160,48.8%,47.2%,0.300,0.256,11.9%,38.3%,14.9,19.6,20171023TORvsSAS
161,49.4%,53.8%,0.333,0.288,22.2%,24.3%,14.8,22.1,20171023WASvsDEN
162,48.0%,61.0%,0.293,0.351,25.0%,20.0%,8.4,20.2,20171023SACvsPHX
163,37.8%,53.4%,0.383,0.391,29.6%,28.9%,14.6,16.8,20171022ATLvsBKN
164,55.8%,53.6%,0.267,0.167,27.0%,20.5%,17.3,10.5,20171022MINvsOKC
165,62.7%,53.9%,0.253,0.222,17.1%,20.0%,17.3,15.9,20171022NOPvsLAL
166,43.9%,54.5%,0.439,0.416,15.7%,19.5%,18.2,11.8,20171021PHIvsTOR
167,53.9%,42.4%,0.222,0.314,26.7%,22.4%,12.1,15.6,20171021ORLvsCLE
168,48.4%,59.8%,0.219,0.161,25.0%,15.8%,10.7,13.8,20171021INDvsMIA
169,53.3%,50.6%,0.165,0.383,35.7%,30.0%,13.6,14.5,20171021DETvsNYK
170,41.4%,42.7%,0.172,0.110,25.9%,17.4%,11.3,20.4,20171021SASvsCHI
171,44.6%,54.3%,0.250,0.268,14.8%,19.5%,14.1,15.2,20171021DALvsHOU
172,46.4%,53.2%,0.321,0.481,26.1%,15.0%,16.9,13.8,20171021GSWvsMEM
173,48.8%,56.9%,0.432,0.375,31.7%,19.4%,16.1,14.0,20171021PORvsMIL
174,41.2%,49.4%,0.153,0.235,23.1%,40.0%,15.1,17.4,20171021SACvsDEN
175,48.1%,55.2%,0.244,0.169,19.0%,18.9%,17.8,20.1,20171021OKCvsUTA
176,42.3%,61.4%,0.535,0.341,8.7%,23.8%,19.3,11.6,20171021PHXvsLAC
177,41.6%,49.4%,0.147,0.349,11.8%,27.3%,12.0,19.4,20171020ATLvsCHA
178,53.2%,47.4%,0.179,0.423,25.0%,13.0%,9.0,12.2,20171020PORvsIND
179,47.6%,43.5%,0.381,0.174,29.8%,25.5%,18.4,16.7,20171020BOSvsPHI
180,55.2%,57.3%,0.230,0.467,25.0%,23.3%,18.1,16.9,20171020DETvsWAS
181,61.1%,53.0%,0.210,0.146,29.0%,18.6%,18.5,15.9,20171020CLEvsMIL
182,60.7%,54.9%,0.169,0.380,21.4%,32.6%,20.3,16.3,20171020ORLvsBKN
183,53.9%,48.8%,0.221,0.321,17.1%,24.4%,19.7,16.3,20171020UTAvsMIN
184,48.3%,48.7%,0.149,0.280,35.6%,14.6%,16.4,13.4,20171020SACvsDAL
185,61.5%,54.1%,0.220,0.224,22.2%,29.1%,16.7,17.2,20171020GSWvsNOP
186,58.1%,56.5%,0.355,0.413,11.1%,21.3%,15.6,16.8,20171020LALvsPHX
187,47.2%,54.8%,0.213,0.337,21.7%,31.0%,17.9,17.1,20171019CHIvsTOR
188,44.9%,49.4%,0.253,0.233,28.2%,30.2%,25.3,18.8,20171019NYKvsOKC
189,44.9%,42.9%,0.121,0.253,29.8%,22.2%,13.5,18.3,20171019LACvsLAL
