,AST_away,AST_home,CFGA_away,CFGA_home,CFGM_away,CFGM_home,CFG_ratio_away,CFG_ratio_home,DFGA_away,DFGA_home,DFGM_away,DFGM_home,DFG_ratio_away,DFG_ratio_home,DIST_away,DIST_home,DRBC_away,DRBC_home,FG_ration_away,FG_ration_home,ORBC_away,ORBC_home,PASS_away,PASS_home,SAST_away,SAST_home,SPD_away,SPD_home,TCHS_away,TCHS_home,UFGA_away,UFGA_home,UFGM_away,UFGM_home,UFG_ratio_away,UFG_ratio_home,game_ID
2,18,18,36,29,18,14,50.0,48.3,21,14,11,12,52.4,85.7,17.34,16.97,67,55,44.3,40.7,17,27,308,245,5,2,,,421,357,43,52,17,19,39.5,36.5,20171114SASvsDAL
3,19,30,30,33,12,20,40.0,60.6,21,16,16,7,76.2,43.8,17.22,16.58,54,61,40.5,51.8,26,25,304,272,2,1,,,417,385,54,52,22,24,40.7,46.2,20171113SACvsWAS
4,21,19,31,47,15,22,48.4,46.8,27,20,18,14,66.7,70.0,16.85,17.14,59,57,39.8,43.2,28,29,314,303,2,1,,,437,436,57,41,20,16,35.1,39.0,20171113CLEvsNYK
5,21,23,32,35,15,15,46.9,42.9,22,24,14,15,63.6,62.5,16.45,16.78,54,50,48.7,48.8,20,21,337,276,4,6,,,456,400,44,47,22,25,50.0,53.2,20171113MEMvsMIL
6,25,31,33,24,16,15,48.5,62.5,22,21,17,13,77.3,61.9,17.43,16.47,41,52,46.0,54.7,27,22,371,342,3,10,,,496,464,54,51,24,26,44.4,51.0,20171113ATLvsNOP
7,17,15,40,45,17,17,42.5,37.8,22,26,15,14,68.2,53.8,17.75,17.62,67,59,42.4,38.9,30,33,297,260,0,3,,,424,394,50,50,21,20,42.0,40.0,20171113LALvsPHX
8,22,23,34,27,18,14,52.9,51.9,19,20,14,14,73.7,70.0,16.19,17.20,50,41,52.1,44.0,21,24,225,349,1,2,,,335,464,37,57,19,23,51.4,40.4,20171113MINvsUTA
9,13,22,38,28,15,16,39.5,57.1,21,26,14,14,66.7,53.8,16.74,17.13,39,68,35.7,52.1,29,22,275,314,1,2,,,395,428,46,45,15,22,32.6,48.9,20171113DENvsPOR
10,26,35,36,42,20,19,55.6,45.2,31,20,21,13,67.7,65.0,17.51,17.64,53,64,42.0,50.0,21,21,285,344,4,8,,,405,469,52,46,17,25,32.7,54.3,20171113ORLvsGSW
11,27,16,25,33,14,18,56.0,54.5,24,25,14,23,58.3,92.0,17.14,16.78,63,46,49.4,43.9,22,28,355,291,6,3,,,486,413,52,49,24,18,46.2,36.7,20171113PHIvsLAC
12,18,24,31,38,14,12,45.2,31.6,28,19,16,11,57.1,57.9,16.79,16.90,65,50,46.4,40.2,17,38,263,344,2,1,,,372,469,38,49,18,23,47.4,46.9,20171112TORvsBOS
13,25,24,34,45,12,19,35.3,42.2,28,22,13,14,46.4,63.6,17.06,17.71,54,57,43.3,48.3,27,34,289,255,5,6,,,406,376,56,42,27,23,48.2,54.8,20171112MIAvsDET
14,24,18,34,31,17,13,50.0,41.9,20,30,13,20,65.0,66.7,16.54,17.48,49,55,47.8,44.6,29,16,258,354,1,4,,,387,473,56,52,26,24,46.4,46.2,20171112HOUvsIND
15,18,21,35,25,16,13,45.7,52.0,16,25,12,13,75.0,52.0,17.15,16.82,51,64,42.5,50.0,25,11,295,254,2,1,,,423,363,52,47,21,23,40.4,48.9,20171112DALvsOKC
16,19,22,37,36,14,21,37.8,58.3,29,20,20,10,69.0,50.0,17.22,16.54,52,66,41.0,53.8,34,31,324,282,1,1,,,448,406,46,42,20,21,43.5,50.0,20171111ATLvsWAS
17,16,26,35,31,18,17,51.4,54.8,26,23,21,14,80.8,60.9,16.67,16.69,44,62,40.7,53.8,27,24,301,304,1,2,,,424,429,51,49,17,26,33.3,53.1,20171111LACvsNOP
18,19,29,26,44,10,28,38.5,63.6,24,16,19,6,79.2,37.5,17.29,17.41,51,56,37.5,52.2,30,21,329,336,1,1,,,446,456,54,46,20,19,37.0,41.3,20171111SACvsNYK
19,23,18,30,23,18,11,60.0,47.8,16,27,11,20,68.8,74.1,16.34,15.91,49,46,48.1,44.6,18,25,251,240,2,2,,,374,358,46,53,19,24,41.3,45.3,20171111MEMvsHOU
20,18,21,30,33,12,17,40.0,51.5,30,26,20,16,66.7,61.5,16.96,17.76,56,61,43.2,42.4,24,20,271,312,4,2,,,401,434,51,59,23,22,45.1,37.3,20171111CLEvsDAL
21,21,16,31,41,15,18,48.4,43.9,25,28,17,18,68.0,64.3,17.55,17.25,59,53,41.9,41.2,25,21,261,312,2,1,,,383,437,43,45,16,17,37.2,37.8,20171111LALvsMIL
22,22,33,42,33,25,15,59.5,45.5,26,21,17,15,65.4,71.4,18.32,17.84,47,63,46.5,60.0,22,19,300,311,3,6,,,416,424,44,52,15,36,34.1,69.2,20171111CHIvsSAS
23,30,31,37,28,18,18,48.6,64.3,25,28,19,14,76.0,50.0,18.92,17.95,42,62,46.8,58.5,29,11,393,307,2,9,,,532,428,57,54,26,30,45.6,55.6,20171111PHIvsGSW
24,24,29,33,32,15,17,45.5,53.1,34,22,23,11,67.6,50.0,16.94,16.97,51,61,47.1,52.9,25,32,308,326,3,5,,,423,443,53,55,25,29,47.2,52.7,20171111ORLvsDEN
25,16,21,59,29,24,14,40.7,48.3,22,28,16,17,72.7,60.7,16.92,16.96,45,65,40.6,53.5,37,19,258,260,1,3,,,394,385,37,57,15,32,40.5,56.1,20171111MINvsPHX
26,13,19,33,37,18,23,54.5,62.2,27,30,18,18,66.7,60.0,17.29,17.85,57,49,46.1,48.2,25,25,259,317,1,3,,,386,446,43,48,17,18,39.5,37.5,20171111BKNvsUTA
27,28,23,45,40,20,16,44.4,40.0,33,32,17,20,51.5,62.5,17.43,17.83,57,51,49.4,43.8,26,40,348,318,2,5,,,478,449,44,49,24,23,54.5,46.9,20171110ATLvsDET
28,20,15,40,33,14,15,35.0,45.5,19,14,10,9,52.6,64.3,17.52,17.27,66,69,38.8,35.7,28,28,258,326,2,2,,,379,449,40,51,17,15,42.5,29.4,20171110CHAvsBOS
29,27,24,28,40,16,17,57.1,42.5,28,19,15,15,53.6,78.9,17.86,18.58,70,58,51.2,39.8,20,30,297,351,4,8,,,413,473,56,53,27,20,48.2,37.7,20171110INDvsCHI
30,13,23,40,24,19,14,47.5,58.3,24,30,16,17,66.7,56.7,16.03,16.37,50,51,46.4,51.3,40,24,294,263,1,4,,,418,384,44,54,20,26,45.5,48.1,20171110LACvsOKC
31,27,23,38,31,18,13,47.4,41.9,19,24,14,17,73.7,70.8,17.13,17.28,53,63,46.1,42.5,24,17,277,322,4,6,,,402,442,51,49,23,21,45.1,42.9,20171110MILvsSAS
32,29,13,32,41,17,20,53.1,48.8,35,24,25,16,71.4,66.7,17.68,17.72,69,47,52.4,46.8,22,33,263,285,5,1,,,397,414,50,53,26,24,52.0,45.3,20171110ORLvsPHX
33,10,12,30,39,13,15,43.3,38.5,20,21,9,14,45.0,66.7,16.74,17.04,65,61,39.0,33.8,21,33,227,297,1,1,,,349,408,47,35,17,10,36.2,28.6,20171110MIAvsUTA
34,25,17,36,53,14,19,38.9,35.8,28,24,11,14,39.3,58.3,17.34,16.64,73,66,42.9,42.1,24,40,268,252,1,0,,,384,371,55,37,25,17,45.5,45.9,20171110BKNvsPOR
35,17,20,36,40,15,23,41.7,57.5,23,34,17,22,73.9,64.7,17.38,16.94,50,65,36.0,51.8,38,23,274,288,1,1,,,402,411,50,43,16,20,32.0,46.5,20171109LALvsWAS
36,31,27,37,34,21,17,56.8,50.0,22,34,16,23,72.7,67.6,16.84,18.07,73,43,53.7,45.9,13,36,294,338,2,6,,,416,477,45,64,23,28,51.1,43.8,20171109NOPvsTOR
37,24,21,30,19,18,16,60.0,84.2,20,27,16,20,80.0,74.1,16.44,15.53,46,47,55.6,46.8,24,27,251,281,6,3,,,374,413,51,58,27,20,52.9,34.5,20171109CLEvsHOU
38,23,29,37,33,17,12,45.9,36.4,26,25,13,12,50.0,48.0,18.16,18.11,68,65,42.5,43.0,30,31,349,318,4,8,,,478,450,50,60,20,28,40.0,46.7,20171109PHIvsSAC
39,16,27,45,39,19,19,42.2,48.7,29,34,20,18,69.0,52.9,16.00,16.19,56,60,42.2,46.3,44,36,275,296,3,1,,,403,417,45,43,19,19,42.2,44.2,20171109OKCvsDEN
40,22,25,37,33,18,19,48.6,57.6,18,17,13,12,72.2,70.6,17.37,17.99,39,58,43.2,51.8,18,14,308,291,3,1,,,432,406,47,43,20,21,42.6,48.8,20171108INDvsDET
41,26,31,44,31,26,20,59.1,64.5,19,28,16,17,84.2,60.7,17.47,16.75,50,37,52.5,53.8,23,13,335,280,1,3,,,451,397,29,45,13,23,44.8,51.1,20171108NYKvsORL
42,16,20,41,42,20,15,48.8,35.7,26,24,11,15,42.3,62.5,17.52,17.43,80,57,43.5,38.8,26,42,208,308,3,3,,,330,434,43,52,16,21,37.2,40.4,20171108LALvsBOS
43,21,20,33,36,19,18,57.6,50.0,22,27,17,19,77.3,70.4,17.53,17.24,57,43,53.1,45.5,17,21,280,246,3,0,,,410,369,44,47,22,21,50.0,44.7,20171108MIAvsPHX
44,21,37,38,31,19,20,50.0,64.5,16,25,12,18,75.0,72.0,17.92,18.02,45,70,41.3,56.5,31,10,287,299,2,5,,,422,422,54,52,18,27,33.3,51.9,20171108MINvsGSW
45,29,18,35,41,20,19,57.1,46.3,32,28,16,19,50.0,67.9,16.83,17.02,46,44,56.6,50.0,18,36,293,297,3,5,,,414,421,48,41,27,22,56.3,53.7,20171107MILvsCLE
46,23,19,33,38,21,21,63.6,55.3,21,24,17,16,81.0,66.7,16.33,17.39,54,57,50.6,47.3,28,26,292,305,0,2,,,414,426,52,55,22,23,42.3,41.8,20171107NOPvsIND
47,26,21,35,33,17,15,48.6,45.5,18,29,11,17,61.1,58.6,17.54,16.91,54,58,47.3,42.7,27,17,280,251,4,2,,,405,364,56,42,26,17,46.4,40.5,20171107DALvsWAS
48,24,29,38,25,18,15,47.4,60.0,18,26,16,20,88.9,76.9,17.29,17.13,37,57,46.2,60.0,35,16,294,318,1,5,,,416,432,53,50,24,30,45.3,60.0,20171107CHAvsNYK
49,26,22,32,45,19,24,59.4,53.3,25,24,16,15,64.0,62.5,18.16,17.70,44,45,50.0,54.3,24,18,371,280,2,4,,,489,396,49,36,21,20,42.9,55.6,20171107CHIvsTOR
50,20,33,34,33,18,14,52.9,42.4,22,26,14,19,63.6,73.1,16.81,17.27,41,45,51.2,53.6,29,16,289,308,3,5,,,410,429,48,51,24,31,50.0,60.8,20171107LACvsSAS
51,22,26,30,35,14,24,46.7,68.6,22,20,17,11,77.3,55.0,18.05,17.69,52,59,42.7,47.3,26,16,332,255,3,1,,,465,397,58,54,25,20,43.1,37.0,20171107BKNvsDEN
52,23,15,18,29,7,12,38.9,41.4,20,17,12,11,60.0,64.7,17.96,18.01,76,55,42.0,30.3,22,26,305,344,5,3,,,436,490,59,66,26,18,44.1,27.3,20171107PHIvsUTA
53,18,11,38,37,19,19,50.0,51.4,20,29,14,18,70.0,62.1,16.17,17.16,56,48,47.9,44.4,20,33,280,284,2,0,,,385,403,35,44,16,17,45.7,38.6,20171107MEMvsPOR
54,15,21,27,26,9,12,33.3,46.2,19,25,12,15,63.2,60.0,16.96,17.41,61,73,33.7,46.8,31,17,238,316,1,3,,,377,447,56,51,19,25,33.9,49.0,20171107OKCvsSAC
55,28,24,29,29,11,12,37.9,41.4,17,14,11,9,64.7,64.3,15.64,15.96,53,46,48.1,48.1,23,15,285,289,1,2,,,399,401,47,46,26,22,55.3,47.8,20171106BOSvsATL
56,20,13,42,37,19,11,45.2,29.7,20,27,10,17,50.0,63.0,16.55,16.60,71,67,40.2,34.9,33,40,301,293,1,2,,,425,428,45,49,16,19,35.6,38.8,20171106BKNvsPHX
57,19,20,32,38,14,11,43.8,28.9,23,19,11,10,47.8,52.6,17.97,17.39,75,73,36.1,36.8,24,29,277,303,2,0,,,405,431,49,47,16,19,32.7,40.4,20171106MIAvsGSW
58,24,27,45,39,18,19,40.0,48.7,26,34,18,20,69.2,58.8,17.56,16.87,66,57,47.7,43.8,26,37,313,279,6,0,,,443,412,41,55,23,21,56.1,38.2,20171105ATLvsCLE
59,23,16,29,36,11,16,37.9,44.4,17,19,9,11,52.9,57.9,17.45,16.80,48,55,44.0,39.1,22,25,266,274,1,1,,,393,407,53,44,24,15,45.3,34.1,20171105MIAvsLAC
60,26,18,37,36,17,16,45.9,44.4,17,26,11,13,64.7,50.0,17.20,17.37,70,57,43.8,36.3,32,26,303,288,4,1,,,419,408,52,55,22,17,42.3,30.9,20171105BOSvsORL
61,19,17,44,36,16,19,36.4,52.8,31,23,24,14,77.4,60.9,16.96,17.30,55,48,47.1,46.3,29,24,267,281,3,4,,,396,403,41,44,24,18,58.5,40.9,20171105WASvsTOR
62,22,26,37,30,17,17,45.9,56.7,27,26,16,16,59.3,61.5,17.60,16.50,45,57,43.2,59.3,30,21,313,241,3,2,,,446,363,51,50,21,30,41.2,60.0,20171105UTAvsHOU
63,23,21,32,38,18,19,56.3,50.0,27,23,15,13,55.6,56.5,17.52,17.76,53,45,45.7,50.0,25,21,299,274,1,4,,,421,401,49,50,19,25,38.8,50.0,20171105PHXvsSAS
64,24,24,33,47,15,27,45.5,57.4,24,25,16,12,66.7,48.0,17.40,17.26,59,60,46.8,50.0,23,29,315,303,4,2,,,427,419,46,41,22,17,47.8,41.5,20171105INDvsNYK
65,24,20,35,34,15,13,42.9,38.2,16,25,11,15,68.8,60.0,16.99,16.64,53,56,41.6,45.8,29,35,276,280,2,1,,,392,404,52,49,22,25,42.3,51.0,20171105CHAvsMIN
66,17,20,33,33,16,19,48.5,57.6,22,22,18,12,81.8,54.5,16.72,17.00,50,69,44.9,50.0,29,19,254,302,2,1,,,378,426,56,41,24,18,42.9,43.9,20171105OKCvsPOR
67,23,25,30,42,15,21,50.0,50.0,27,26,21,19,77.8,73.1,16.90,17.65,64,62,46.0,47.1,22,31,321,265,7,2,,,441,391,57,43,25,19,43.9,44.2,20171105MEMvsLAL
68,21,18,26,43,12,22,46.2,51.2,25,18,17,12,68.0,66.7,16.47,16.64,57,56,47.6,45.8,35,28,306,276,1,2,,,429,402,58,40,28,16,48.3,40.0,20171104MEMvsLAC
69,24,28,25,31,17,15,68.0,48.4,26,19,16,13,61.5,68.4,17.42,17.74,46,51,52.6,50.6,19,24,315,325,3,3,,,431,443,51,48,23,25,45.1,52.1,20171104SACvsDET
70,23,23,33,34,16,10,48.5,29.4,30,30,14,20,46.7,66.7,18.13,19.31,67,71,40.2,35.4,18,34,340,368,7,3,,,468,499,54,65,19,25,35.2,38.5,20171104NOPvsCHI
71,18,33,36,29,19,20,52.8,69.0,18,29,15,18,83.3,62.1,16.91,16.25,43,57,46.0,54.4,30,20,282,304,4,9,,,400,426,50,50,21,23,42.0,46.0,20171104DALvsMIN
72,38,26,30,41,18,25,60.0,61.0,31,29,23,18,74.2,62.1,17.13,17.55,59,55,54.9,46.0,18,22,365,296,8,3,,,493,419,60,46,31,15,51.7,32.6,20171104GSWvsDEN
73,27,21,37,34,17,14,45.9,41.2,23,25,15,15,65.2,60.0,16.96,17.49,55,57,47.0,47.4,21,33,308,354,3,3,,,422,469,46,44,22,23,47.8,52.3,20171103MILvsDET
74,23,23,34,31,15,17,44.1,54.8,15,26,10,17,66.7,65.4,17.60,17.24,64,53,47.1,40.7,32,24,320,291,2,4,,,433,409,51,55,25,18,49.0,32.7,20171103CHIvsORL
75,25,34,39,45,21,21,53.8,46.7,24,26,15,15,62.5,57.7,18.32,18.38,55,66,46.4,50.0,25,23,277,368,3,4,,,419,503,57,44,23,23,40.4,52.3,20171103INDvsPHI
76,20,25,29,42,14,25,48.3,59.5,30,24,20,21,66.7,87.5,16.46,16.44,45,42,56.1,53.6,15,35,258,265,2,0,,,394,396,53,42,32,20,60.4,47.6,20171103CLEvsWAS
77,28,16,40,34,21,21,52.5,61.8,29,34,20,20,69.0,58.8,16.56,17.77,54,61,47.2,48.1,24,18,316,323,1,2,,,437,445,49,47,21,18,42.9,38.3,20171103HOUvsATL
78,17,24,41,50,15,29,36.6,58.0,26,34,21,18,80.8,52.9,17.15,17.59,52,65,35.1,51.7,43,22,265,326,2,4,,,396,450,56,37,19,16,33.9,43.2,20171103PHXvsNYK
79,23,19,34,42,19,20,55.9,47.6,23,32,16,17,69.6,53.1,16.49,17.46,62,67,40.4,38.6,29,24,349,334,2,2,,,476,464,55,46,17,14,30.9,30.4,20171103NOPvsDAL
80,16,31,38,34,19,18,50.0,52.9,21,19,13,12,61.9,63.2,17.52,18.14,50,53,41.3,47.0,28,21,236,331,1,7,,,356,449,42,49,14,21,33.3,42.9,20171103CHAvsSAS
81,23,17,24,46,15,21,62.5,45.7,28,18,16,15,57.1,83.3,16.48,16.41,53,51,46.8,45.0,26,32,303,290,5,4,,,428,417,53,34,21,15,39.6,44.1,20171103MIAvsDEN
82,20,11,20,41,10,21,50.0,51.2,22,17,16,12,72.7,70.6,17.09,17.33,63,44,53.5,43.8,14,27,269,300,3,0,,,386,419,51,39,28,14,54.9,35.9,20171103TORvsUTA
83,23,20,38,36,11,12,28.9,33.3,27,24,16,12,59.3,50.0,16.66,16.18,63,65,42.9,40.2,28,36,293,235,3,3,,,412,350,46,51,25,23,54.3,45.1,20171103BOSvsOKC
84,23,26,38,39,18,22,47.4,56.4,36,27,24,19,66.7,70.4,17.97,18.44,56,67,40.7,51.1,25,34,299,274,5,2,,,432,413,53,55,19,26,35.8,47.3,20171103BKNvsLAL
85,30,19,33,45,14,18,42.4,40.0,29,24,15,17,51.7,70.8,16.83,17.87,72,51,51.8,39.1,15,39,265,337,2,3,,,377,466,50,42,29,16,58.0,38.1,20171102GSWvsSAS
86,16,22,42,46,27,22,64.3,47.8,27,22,17,17,63.0,77.3,17.55,17.29,58,45,54.4,46.5,13,29,261,271,2,1,,,374,392,37,40,16,18,43.2,45.0,20171102LALvsPOR
87,29,21,38,36,18,16,47.4,44.4,25,12,17,8,68.0,66.7,16.87,17.08,51,60,49.5,53.6,24,21,334,286,6,2,,,458,406,52,48,27,29,51.9,60.4,20171101MILvsCHA
88,35,25,34,30,17,20,50.0,66.7,28,21,23,13,82.1,61.9,17.59,16.97,52,48,54.4,50.0,20,19,308,289,5,3,,,439,419,56,56,32,23,57.1,41.1,20171101INDvsCLE
89,22,36,47,49,21,24,44.7,49.0,32,37,18,22,56.3,59.5,18.56,18.77,65,62,43.6,46.5,33,33,295,403,2,9,,,440,546,47,50,20,22,42.6,44.0,20171101ATLvsPHI
90,23,20,31,46,19,20,61.3,43.5,25,30,15,20,60.0,66.7,17.23,16.78,57,48,49.4,44.6,22,33,302,243,3,3,,,425,371,52,46,22,21,42.3,45.7,20171101PHXvsWAS
91,24,30,37,27,17,11,45.9,40.7,24,26,13,17,54.2,65.4,16.94,16.71,36,49,43.2,48.8,20,39,374,292,2,3,,,496,412,44,55,18,29,40.9,52.7,20171101SACvsBOS
92,20,21,45,37,19,16,42.2,43.2,26,23,12,15,46.2,65.2,18.25,17.85,57,69,40.4,41.0,20,19,284,269,2,0,,,408,386,44,46,17,18,38.6,39.1,20171101CHIvsMIA
93,21,23,26,27,15,17,57.7,63.0,17,21,12,13,70.6,61.9,16.25,17.39,66,52,47.7,43.3,22,36,254,336,3,4,,,378,460,62,63,27,22,43.5,34.9,20171101HOUvsNYK
